REFERENCE	 DEGRADED	 PESQMOS	 PESQMOS	 SUBJMOS	 COND	 SAMPLE_FREQ	 CRUDE_DELAY
sounds\speech.wav	 sounds\speech_bab_0dB.wav	 SQValue=1.969	 1.969	 0.000	 0	 16000	0.0000
 sounds\or105.08k.raw	 sounds\dg105.08k.raw	 SQValue=2.237	 2.237	 0.000	 0	 8000	0.2760
 sounds\speech.wav	 sounds\speech_bab_0dB.wav	 SQValue=1.969	 1.969	 0.000	 0	 16000	0.0000
 sounds\or105.08k.raw	 sounds\dg105.08k.raw	 SQValue=2.237	 2.237	 0.000	 0	 8000	0.2760
 sounds\speech.wav	 sounds\speech_bab_0dB.wav	 SQValue=1.969	 1.969	 0.000	 0	 16000	0.0000
 sounds\or105.08k.raw	 sounds\dg105.08k.raw	 SQValue=2.237	 2.237	 0.000	 0	 8000	0.2760
 sounds\speech.wav	 sounds\speech_bab_0dB.wav	 SQValue=1.969	 1.969	 0.000	 0	 16000	0.0000
 sounds\or105.08k.raw	 sounds\dg105.08k.raw	 SQValue=2.237	 2.237	 0.000	 0	 8000	0.2760
 sounds\speech.wav	 sounds\speech_bab_0dB.wav	 SQValue=1.969	 1.969	 0.000	 0	 16000	0.0000
 sounds\or105.08k.raw	 sounds\dg105.08k.raw	 SQValue=2.237	 2.237	 0.000	 0	 8000	0.2760
 sounds\speech.wav	 sounds\speech_bab_0dB.wav	 SQValue=1.969	 1.969	 0.000	 0	 16000	0.0000
 sounds\speech.wav	 sounds\speech_bab_0dB.wav	 SQValue=1.969	 1.969	 0.000	 0	 16000	0.0000
 sounds\speech.wav	 sounds\speech_bab_0dB.wav	 SQValue=1.969	 1.969	 0.000	 0	 16000	0.0000
 sounds\speech.wav	 sounds\speech_bab_0dB.wav	 SQValue=1.969	 1.969	 0.000	 0	 16000	0.0000
 sounds\or105.08k.raw	 sounds\dg105.08k.raw	 SQValue=2.237	 2.237	 0.000	 0	 8000	0.2760
 sounds\speech.wav	 sounds\speech_bab_0dB.wav	 SQValue=1.969	 1.969	 0.000	 0	 16000	0.0000
 sounds\speech.wav	 sounds\speech_bab_0dB.wav	 SQValue=1.969	 1.969	 0.000	 0	 16000	0.0000
 sounds\speech.wav	 sounds\speech_bab_0dB.wav	 SQValue=1.969	 1.969	 0.000	 0	 16000	0.0000
 sounds\or105.08k.raw	 sounds\dg105.08k.raw	 SQValue=2.237	 2.237	 0.000	 0	 8000	0.2760
 sounds\speech.wav	 sounds\speech_bab_0dB.wav	 SQValue=1.969	 1.969	 0.000	 0	 16000	0.0000
 sounds\speech.wav	 sounds\speech_bab_0dB.wav	 SQValue=1.969	 1.969	 0.000	 0	 16000	0.0000
 sounds\or105.08k.raw	 sounds\dg105.08k.raw	 SQValue=2.237	 2.237	 0.000	 0	 8000	0.2760
 sounds\speech.wav	 sounds\speech_bab_0dB.wav	 SQValue=1.969	 1.969	 0.000	 0	 16000	0.0000
 sounds\speech.wav	 sounds\speech_bab_0dB.wav	 SQValue=1.969	 1.969	 0.000	 0	 16000	0.0000
 sounds\speech.wav	 sounds\speech_bab_0dB.wav	 SQValue=1.969	 1.969	 0.000	 0	 16000	0.0000
 sounds\speech.wav	 sounds\speech_bab_0dB.wav	 SQValue=1.969	 1.969	 0.000	 0	 16000	0.0000
 sounds\speech.wav	 sounds\speech_bab_0dB.wav	 SQValue=1.969	 1.969	 0.000	 0	 16000	0.0000
 sounds\speech.wav	 sounds\speech_bab_0dB.wav	 SQValue=1.969	 1.969	 0.000	 0	 16000	0.0000
 sounds\speech.wav	 sounds\speech_bab_0dB.wav	 SQValue=1.969	 1.969	 0.000	 0	 16000	0.0000
 sounds\or105.08k.raw	 sounds\dg105.08k.raw	 SQValue=2.237	 2.237	 0.000	 0	 8000	0.2760
 sounds\speech.wav	 sounds\speech_bab_0dB.wav	 SQValue=1.969	 1.969	 0.000	 0	 16000	0.0000
 sounds\speech.wav	 sounds\speech_bab_0dB.wav	 SQValue=1.969	 1.969	 0.000	 0	 16000	0.0000
 sounds\speech.wav	 sounds\speech_bab_0dB.wav	 SQValue=1.969	 1.969	 0.000	 0	 16000	0.0000
 sounds\speech.wav	 sounds\speech_bab_0dB.wav	 SQValue=1.969	 1.969	 0.000	 0	 16000	0.0000
 sounds\or105.08k.raw	 sounds\dg105.08k.raw	 SQValue=2.237	 2.237	 0.000	 0	 8000	0.2760
 sounds\speech.wav	 sounds\speech_bab_0dB.wav	 SQValue=1.969	 1.969	 0.000	 0	 16000	0.0000
 sounds\speech.wav	 sounds\speech_bab_0dB.wav	 SQValue=1.969	 1.969	 0.000	 0	 16000	0.0000
 sounds\speech.wav	 sounds\speech_bab_0dB.wav	 SQValue=1.969	 1.969	 0.000	 0	 16000	0.0000
 sounds\speech.wav	 sounds\speech_bab_0dB.wav	 SQValue=1.969	 1.969	 0.000	 0	 16000	0.0000
 sounds\or105.08k.raw	 sounds\dg105.08k.raw	 SQValue=2.237	 2.237	 0.000	 0	 8000	0.2760
 sounds\speech.wav	 sounds\speech_bab_0dB.wav	 SQValue=1.969	 1.969	 0.000	 0	 16000	0.0000
 sounds\or105.08k.raw	 sounds\dg105.08k.raw	 SQValue=2.237	 2.237	 0.000	 0	 8000	0.2760
 sounds\speech.wav	 sounds\speech_bab_0dB.wav	 SQValue=1.969	 1.969	 0.000	 0	 16000	0.0000
 sounds\or105.08k.raw	 sounds\dg105.08k.raw	 SQValue=2.237	 2.237	 0.000	 0	 8000	0.2760
 
