DEGRADED	 PESQMOS	 SUBJMOS	 COND	 SAMPLE_FREQ	 CRUDE_DELAY
speech_bab_0dB.wav	 1.969	 0.000	 0	 16000	0.0000
 dg105.08k.raw	 2.237	 0.000	 0	 8000	0.2760
 speech_bab_0dB.wav	 1.969	 0.000	 0	 16000	0.0000
 dg105.08k.raw	 2.237	 0.000	 0	 8000	0.2760
 speech_bab_0dB.wav	 1.969	 0.000	 0	 16000	0.0000
 dg105.08k.raw	 2.237	 0.000	 0	 8000	0.2760
 speech_bab_0dB.wav	 1.969	 0.000	 0	 16000	0.0000
 dg105.08k.raw	 2.237	 0.000	 0	 8000	0.2760
 speech_bab_0dB.wav	 1.969	 0.000	 0	 16000	0.0000
 dg105.08k.raw	 2.237	 0.000	 0	 8000	0.2760
 speech_bab_0dB.wav	 1.969	 0.000	 0	 16000	0.0000
 speech_bab_0dB.wav	 1.969	 0.000	 0	 16000	0.0000
 speech_bab_0dB.wav	 1.969	 0.000	 0	 16000	0.0000
 speech_bab_0dB.wav	 1.969	 0.000	 0	 16000	0.0000
 dg105.08k.raw	 2.237	 0.000	 0	 8000	0.2760
 speech_bab_0dB.wav	 1.969	 0.000	 0	 16000	0.0000
 speech_bab_0dB.wav	 1.969	 0.000	 0	 16000	0.0000
 speech_bab_0dB.wav	 1.969	 0.000	 0	 16000	0.0000
 dg105.08k.raw	 2.237	 0.000	 0	 8000	0.2760
 speech_bab_0dB.wav	 1.969	 0.000	 0	 16000	0.0000
 speech_bab_0dB.wav	 1.969	 0.000	 0	 16000	0.0000
 dg105.08k.raw	 2.237	 0.000	 0	 8000	0.2760
 speech_bab_0dB.wav	 1.969	 0.000	 0	 16000	0.0000
 speech_bab_0dB.wav	 1.969	 0.000	 0	 16000	0.0000
 speech_bab_0dB.wav	 1.969	 0.000	 0	 16000	0.0000
 speech_bab_0dB.wav	 1.969	 0.000	 0	 16000	0.0000
 speech_bab_0dB.wav	 1.969	 0.000	 0	 16000	0.0000
 speech_bab_0dB.wav	 1.969	 0.000	 0	 16000	0.0000
 speech_bab_0dB.wav	 1.969	 0.000	 0	 16000	0.0000
 dg105.08k.raw	 2.237	 0.000	 0	 8000	0.2760
 speech_bab_0dB.wav	 1.969	 0.000	 0	 16000	0.0000
 speech_bab_0dB.wav	 1.969	 0.000	 0	 16000	0.0000
 speech_bab_0dB.wav	 1.969	 0.000	 0	 16000	0.0000
 speech_bab_0dB.wav	 1.969	 0.000	 0	 16000	0.0000
 dg105.08k.raw	 2.237	 0.000	 0	 8000	0.2760
 speech_bab_0dB.wav	 1.969	 0.000	 0	 16000	0.0000
 speech_bab_0dB.wav	 1.969	 0.000	 0	 16000	0.0000
 speech_bab_0dB.wav	 1.969	 0.000	 0	 16000	0.0000
 speech_bab_0dB.wav	 1.969	 0.000	 0	 16000	0.0000
 dg105.08k.raw	 2.237	 0.000	 0	 8000	0.2760
 speech_bab_0dB.wav	 1.969	 0.000	 0	 16000	0.0000
 dg105.08k.raw	 2.237	 0.000	 0	 8000	0.2760
 speech_bab_0dB.wav	 1.969	 0.000	 0	 16000	0.0000
 dg105.08k.raw	 2.237	 0.000	 0	 8000	0.2760
 
