DEGRADED	 PESQMOS	 SUBJMOS	 COND	 SAMPLE_FREQ	 CRUDE_DELAY
sp01_airport_sn5.wav	 2.128	 0.000	 0	 8000	0.0080
 sp01_airport_sn5.wav	 2.128	 0.000	 0	 8000	0.0080
 sp01_airport_sn5.wav	 2.128	 0.000	 0	 8000	0.0080
 sp01_airport_sn5.wav	 2.128	 0.000	 0	 8000	0.0080
 sp01_airport_sn5.wav	 2.128	 0.000	 0	 8000	0.0080
 sp01_airport_sn5.wav	 2.128	 0.000	 0	 8000	0.0080
 sp01_airport_sn5.wav	 2.128	 0.000	 0	 8000	0.0080
 sp01_airport_sn5.wav	 2.128	 0.000	 0	 8000	0.0080
 sp01_airport_sn5.wav	 2.128	 0.000	 0	 8000	0.0080
 sp01_airport_sn5.wav	 2.128	 0.000	 0	 8000	0.0080
 sp01_airport_sn5.wav	 2.128	 0.000	 0	 8000	0.0080
 sp01_airport_sn5.wav	 2.128	 0.000	 0	 8000	0.0080
 sp01_airport_sn5.wav	 2.128	 0.000	 0	 8000	0.0080
 x_denoised.wav	 2.244	 0.000	 0	 8000	0.0080
 sp01_airport_sn5.wav	 2.128	 0.000	 0	 8000	0.0080
 x_denoised.wav	 2.239	 0.000	 0	 8000	0.0080
 sp01_airport_sn5.wav	 2.128	 0.000	 0	 8000	0.0080
 x_denoised.wav	 2.239	 0.000	 0	 8000	0.0080
 sp01_airport_sn5.wav	 2.128	 0.000	 0	 8000	0.0080
 x_denoised.wav	 2.239	 0.000	 0	 8000	0.0080
 sp01_airport_sn5.wav	 2.128	 0.000	 0	 8000	0.0080
 x_denoised.wav	 2.239	 0.000	 0	 8000	0.0080
 sp01_airport_sn5.wav	 2.128	 0.000	 0	 8000	0.0080
 x_denoised.wav	 2.239	 0.000	 0	 8000	0.0080
 sp01_airport_sn5.wav	 2.128	 0.000	 0	 8000	0.0080
 x_denoised.wav	 2.239	 0.000	 0	 8000	0.0080
 sp01_airport_sn5.wav	 2.128	 0.000	 0	 8000	0.0080
 x_denoised.wav	 2.239	 0.000	 0	 8000	0.0080
 sp01_airport_sn5.wav	 2.128	 0.000	 0	 8000	0.0080
 x_denoised.wav	 2.239	 0.000	 0	 8000	0.0080
 sp01_airport_sn5.wav	 2.128	 0.000	 0	 8000	0.0080
 x_denoised.wav	 2.239	 0.000	 0	 8000	0.0080
 sp01_airport_sn5.wav	 2.128	 0.000	 0	 8000	0.0080
 x_denoised.wav	 2.239	 0.000	 0	 8000	0.0080
 sp01_airport_sn5.wav	 2.128	 0.000	 0	 8000	0.0080
 x_denoised.wav	 2.239	 0.000	 0	 8000	0.0080
 sp01_airport_sn5.wav	 2.128	 0.000	 0	 8000	0.0080
 x_denoised.wav	 2.239	 0.000	 0	 8000	0.0080
 sp01_airport_sn5.wav	 2.128	 0.000	 0	 8000	0.0080
 x_denoised.wav	 2.239	 0.000	 0	 8000	0.0080
 sp01_airport_sn5.wav	 2.128	 0.000	 0	 8000	0.0080
 x_denoised.wav	 2.239	 0.000	 0	 8000	0.0080
 sp01_airport_sn5.wav	 2.128	 0.000	 0	 8000	0.0080
 x_denoised.wav	 2.239	 0.000	 0	 8000	0.0080
 sp01_airport_sn5.wav	 2.128	 0.000	 0	 8000	0.0080
 x_denoised.wav	 2.239	 0.000	 0	 8000	0.0080
